id;actsArr;stageID;id-name;name;date;start_time;end_time;type;status;tags;description;ticket;url
340;130;9;;;29.05.2026;29.05.2026 21:00;29.05.2026 21:30;Walkact;;;Superheroes auf der Inneren Klosterstra[sz]e;;
341;131;10;;;29.05.2026;29.05.2026 17:00;29.05.2026 21:00;Performance;;;Toc de Fusta auf dem D[ue][sz]eldorfer Platz;;
342;132;10;;;29.05.2026;29.05.2026 17:00;29.05.2026 20:00;spezial;;;Siebdruck mit Spangeltangel auf dem D[ue][sz]eldorfer Platz;;
343;133;10;;;29.05.2026;29.05.2026 17:30;29.05.2026 18:00;Walkact;;;Walkact Last Minute auf dem D[ue][sz]eldorfer Platz;;
344;133;10;;;29.05.2026;29.05.2026 19:00;29.05.2026 19:30;Walkact;;;Walkact Last Minute auf dem D[ue][sz]eldorfer Platz;;
345;133;10;;;29.05.2026;29.05.2026 21:00;29.05.2026 21:30;Walkact;;;Walkact Last Minute auf dem D[ue][sz]eldorfer Platz;;
346;134;1;;;30.05.2026;30.05.2026 14:00;30.05.2026 14:30;Performance;;;Hibiki Daiko auf der B[ue]hne Melone;;
347;123;1;;;30.05.2026;30.05.2026 15:00;30.05.2026 15:30;Performance;;;Duo flexoncirc auf der B[ue]hne Melone;;
348;116;1;;;30.05.2026;30.05.2026 16:00;30.05.2026 16:30;Performance;;;Marcos Luis Masetti auf der B[ue]hne Melone;;
349;118;1;;;30.05.2026;30.05.2026 17:00;30.05.2026 17:30;Performance;;;Duo Masawa auf der B[ue]hne Melone;;
350;135;1;;;30.05.2026;30.05.2026 18:00;30.05.2026 18:30;Musik;;;Crepes Sucette auf der B[ue]hne Melone;;
351;113;1;;;30.05.2026;30.05.2026 19:00;30.05.2026 19:30;Performance;;;Anna Ki auf der B[ue]hne Melone;;
352;127;1;;;30.05.2026;30.05.2026 20:00;30.05.2026 20:30;Performance;;;This Maag auf der B[ue]hne Melone;;
353;117;1;;;30.05.2026;30.05.2026 21:00;30.05.2026 21:30;Performance;;;Kuutenkidou auf der B[ue]hne Melone;;
354;116;2;;;30.05.2026;30.05.2026 14:30;30.05.2026 15:00;Performance;;;Marcos Luis Masetti auf der B[ue]hne Glockenhut;;
355;111;2;;;30.05.2026;30.05.2026 15:30;30.05.2026 16:00;Performance;;;Marc Freudenberg auf der B[ue]hne Glockenhut;;
356;119;2;;;30.05.2026;30.05.2026 16:30;30.05.2026 17:00;Performance;;;Zinzi & Evertjan auf der B[ue]hne Glockenhut;;
357;115;2;;;30.05.2026;30.05.2026 17:30;30.05.2026 18:00;Performance;;;Satya Bella auf der B[ue]hne Glockenhut;;
358;111;2;;;30.05.2026;30.05.2026 18:30;30.05.2026 19:00;Performance;;;Marc Freudenberg auf der B[ue]hne Glockenhut;;
359;114;2;;;30.05.2026;30.05.2026 19:30;30.05.2026 20:00;Performance;;;Duo Lolly Pop auf der B[ue]hne Glockenhut;;
360;136;3;;;30.05.2026;30.05.2026 13:30;30.05.2026 14:00;Performance;;;Soul expre[sz]ion auf der B[ue]hne Zylinder;;
361;137;3;;;30.05.2026;30.05.2026 14:30;30.05.2026 15:00;Performance;;;pa[sz]ion life auf der B[ue]hne Zylinder;;
362;112;3;;;30.05.2026;30.05.2026 15:30;30.05.2026 16:00;Performance;;;Tridiculous auf der B[ue]hne Zylinder;;
